"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
467,"F","1922/06/09","1988/04/01",59349.7,98,32
468,"F","1923/12/13","1984/07/01",36321.6,97,36
469,"F","1924/03/04","1985/01/16",32822.9,96,35
470,"F","1924/04/22","1985/04/01",30166,96,35
471,"F","1924/07/20","1985/05/02",32702,96,35
472,"M","1925/03/30","1987/05/01",18079.45,95,33
473,"F","1925/08/22","1984/05/01",35187.2,95,36
474,"F","1925/10/17","1986/09/01",26365.65,95,34
475,"F","1925/12/17","1991/01/02",121395.15,95,29
476,"M","1925/11/25","1991/01/14",75791.05,95,29
477,"M","1926/03/12","1987/10/01",21756.65,94,33
478,"F","1926/03/26","1985/01/01",33606.8,94,35
479,"M","1926/05/21","1983/07/01",34892.45,94,37
480,"M","1926/05/17","1987/01/01",109480.25,94,33
481,"F","1926/05/11","1987/03/01",31888.85,94,33
482,"M","1926/09/03","2003/11/28",255888.5,94,17
483,"F","1926/10/13","1987/02/04",30593.1,94,33
484,"F","1926/10/16","1987/04/01",36731.95,94,33
485,"F","1927/03/17","1987/11/01",36924.85,93,33
486,"F","1927/06/14","1988/05/02",35343.05,93,32
487,"F","1927/06/20","1989/01/01",26866.85,93,31
488,"M","1927/06/24","1987/09/01",116059.2,93,33
489,"F","1927/09/15","1987/04/01",22468.9,93,33
490,"F","1927/12/04","1984/05/02",38466.2,93,36
491,"M","1927/01/03","1986/10/01",21207.65,93,34
492,"F","1928/01/24","1984/07/01",40091.15,92,36
493,"F","1927/12/24","1995/09/02",57825.5,93,25
494,"M","1927/10/28","1988/01/01",112831.45,93,32
495,"F","1928/05/14","1988/05/03",24819,92,32
496,"F","1927/12/01","1987/12/01",28707.2,93,33
497,"F","1928/04/22","1990/12/29",46902.85,92,30
498,"F","1927/11/01","1988/06/01",22499.3,93,32
499,"M","1927/12/03","1997/12/01",121238.45,93,23
500,"F","1928/06/08","1984/08/01",38341.15,92,36
